trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
37,False,"{'a': 0.75, 'e': 0.8307187014821328}",20,0,-177.96687373341834,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
38,False,"{'a': 0.75, 'e': 0.8265651079747222}",25,13,-57.79249747877091,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
39,False,"{'a': 0.75, 'e': 0.8224322824348486}",25,0,-46.59079883505687,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.75, 'e': 0.8183201210226743}",20,0,-70.29837760828018,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.75, 'e': 0.8142285204175609}",25,0,-166.10520276327557,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
42,False,"{'a': 0.75, 'e': 0.810157377815473}",20,0,-24.150445946176614,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.75, 'e': 0.8061065909263957}",20,0,-210.79014559009434,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 5}",0
44,False,"{'a': 0.75, 'e': 0.8020760579717637}",30,0,-138.22142281752585,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
45,False,"{'a': 0.75, 'e': 0.798065677681905}",30,0,-121.50806703373877,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.75, 'e': 0.7940753492934954}",25,0,-206.21169945314332,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
47,False,"{'a': 0.75, 'e': 0.7901049725470279}",20,0,-72.56813770585538,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
48,False,"{'a': 0.75, 'e': 0.7861544476842928}",30,0,-192.6084275492737,"{0: 15, 1: 5, 2: 4, 3: 5, 4: 1}",0
49,False,"{'a': 0.75, 'e': 0.7822236754458713}",25,0,-97.10740790766258,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
50,False,"{'a': 0.75, 'e': 0.778312557068642}",20,7,-11.3286084358036,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.75, 'e': 0.7744209942832988}",30,0,-100.26829350871601,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
52,False,"{'a': 0.75, 'e': 0.7705488893118823}",25,0,-99.04863113071784,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
53,False,"{'a': 0.75, 'e': 0.7666961448653229}",35,15,-78.19214522219663,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",1
54,False,"{'a': 0.75, 'e': 0.7628626641409962}",20,0,1.3914254084887743,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.75, 'e': 0.7590483508202912}",20,0,-55.051833537734176,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
56,False,"{'a': 0.75, 'e': 0.7552531090661897}",35,24,-1.2358322829463635,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
